Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average delay of late departing trains (min),Average delay of all departing trains (min),Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),"% trains late due to external causes (weather, obstacles, suspicious packages, malevolence, social movements, etc.)","% trains late due to railway infrastructure (maintenance, works)","% trains late due to traffic management (rail line traffic, network interactions)",% trains late due to rolling stock,% trains late due to station management and reuse of material,"% trains late due to passenger traffic (affluence, PSH management, connections)",Number of late trains > 15min,Number of late trains > 30min,Number of late trains > 60min,Distance
1,LYON PART DIEU,PARIS LYON,120.292,622.0,0,66,11.061,1.979,50.0,24.28,1.6,0.271,0.104,0.208,0.292,0.104,0.021,31.0,12.0,3.0,427.676
1,MONTPELLIER,LYON PART DIEU,109.535,317.0,2,17,27.059,1.651,44.0,31.818,6.594,0.293,0.22,0.122,0.122,0.122,0.122,29.0,12.0,5.0,314.115
1,STRASBOURG,PARIS EST,142.087,406.0,0,32,14.344,1.576,36.0,31.111,3.308,0.2,0.333,0.3,0.1,0.067,0.0,21.0,11.0,5.0,449.775
1,STRASBOURG,NANTES,318.455,33.0,0,1,8.0,0.303,3.0,30.667,3.848,0.333,0.333,0.0,0.0,0.0,0.333,3.0,1.0,0.0,851.094
1,MARSEILLE ST CHARLES,PARIS LYON,196.985,411.0,1,15,18.2,0.849,30.0,37.667,2.171,0.37,0.111,0.111,0.222,0.074,0.111,30.0,17.0,2.0,748.745
1,MARSEILLE ST CHARLES,LILLE,295.19,210.0,0,25,22.56,3.038,52.0,36.154,10.962,0.28,0.14,0.12,0.12,0.16,0.18,52.0,19.0,7.0,979.711
1,NICE VILLE,PARIS LYON,337.222,178.0,2,18,15.333,1.812,23.0,79.478,10.71,0.278,0.056,0.333,0.222,0.056,0.056,23.0,14.0,11.0,972.389
1,MONTPELLIER,PARIS LYON,205.735,292.0,0,16,12.688,1.003,25.0,36.24,2.726,0.5,0.167,0.125,0.125,0.0,0.083,25.0,11.0,3.0,736.726
1,REIMS,PARIS EST,46.854,205.0,0,2,65.0,0.761,9.0,35.889,0.605,0.286,0.286,0.286,0.143,0.0,0.0,4.0,3.0,3.0,146.006
1,MARSEILLE ST CHARLES,LYON PART DIEU,100.389,527.0,0,62,30.597,3.882,79.0,38.114,7.886,0.25,0.162,0.162,0.147,0.191,0.088,50.0,27.0,12.0,321.497
1,LYON PART DIEU,MONTPELLIER,110.269,348.0,2,74,24.5,5.962,57.0,38.877,7.621,0.25,0.214,0.232,0.161,0.107,0.036,42.0,22.0,12.0,314.115
1,LILLE,LYON PART DIEU,191.139,282.0,2,31,18.323,2.679,35.0,42.571,7.404,0.235,0.176,0.265,0.235,0.0,0.088,28.0,14.0,6.0,645.118
1,TOULOUSE MATABIAU,PARIS MONTPARNASSE,337.861,168.0,2,7,21.714,1.114,17.0,77.882,7.741,0.4,0.0,0.133,0.267,0.2,0.0,17.0,13.0,7.0,974.777
1,LILLE,PARIS NORD,67.33,574.0,1,39,12.0,1.258,86.0,14.047,1.431,0.076,0.418,0.152,0.203,0.101,0.051,24.0,4.0,1.0,225.294
1,LYON PART DIEU,RENNES,264.756,82.0,0,24,15.083,5.305,16.0,48.25,10.78,0.667,0.0,0.067,0.2,0.067,0.0,16.0,10.0,5.0,1009.411
1,LYON PART DIEU,MARSEILLE ST CHARLES,100.971,569.0,1,135,31.111,8.046,116.0,40.922,9.225,0.426,0.13,0.194,0.111,0.065,0.074,93.0,48.0,26.0,321.156
1,BORDEAUX ST JEAN,PARIS MONTPARNASSE,210.638,653.0,3,62,25.016,2.969,63.0,60.397,5.683,0.368,0.175,0.211,0.105,0.07,0.07,63.0,42.0,22.0,560.221
1,LILLE,MARSEILLE ST CHARLES,298.842,196.0,0,25,18.64,2.898,39.0,43.487,10.551,0.333,0.083,0.306,0.139,0.056,0.083,39.0,16.0,9.0,966.167
1,LYON PART DIEU,LILLE,187.565,271.0,0,114,19.474,9.31,60.0,34.6,9.727,0.333,0.158,0.105,0.105,0.14,0.158,58.0,22.0,7.0,645.118
2,LYON PART DIEU,PARIS LYON,120.431,577.0,2,85,14.988,3.096,44.0,26.159,1.783,0.256,0.233,0.14,0.256,0.07,0.047,23.0,10.0,4.0,427.676
2,MARSEILLE ST CHARLES,LILLE,298.144,194.0,0,11,19.727,1.51,38.0,32.105,7.907,0.303,0.182,0.152,0.121,0.121,0.121,38.0,13.0,2.0,979.711
2,NICE VILLE,PARIS LYON,337.208,169.0,1,15,20.533,2.048,26.0,32.308,5.792,0.32,0.08,0.24,0.16,0.16,0.04,26.0,12.0,3.0,972.389
2,LYON PART DIEU,MARSEILLE ST CHARLES,100.983,551.0,1,148,18.662,5.649,121.0,28.43,7.245,0.177,0.239,0.204,0.23,0.062,0.088,82.0,32.0,12.0,321.156
2,REIMS,PARIS EST,46.894,191.0,3,1,8.0,0.17,7.0,9.286,-0.463,0.0,0.4,0.4,0.0,0.0,0.2,1.0,0.0,0.0,146.006
2,MONTPELLIER,PARIS LYON,205.651,269.0,0,21,17.952,1.703,21.0,29.905,2.171,0.762,0.095,0.048,0.0,0.0,0.095,21.0,8.0,0.0,736.726
2,TOULOUSE MATABIAU,PARIS MONTPARNASSE,340.0,155.0,0,5,20.6,0.755,17.0,44.353,4.677,0.6,0.2,0.067,0.133,0.0,0.0,17.0,7.0,3.0,974.777
2,MARSEILLE ST CHARLES,LYON PART DIEU,100.406,498.0,0,45,19.778,2.151,90.0,27.3,7.321,0.321,0.173,0.16,0.16,0.123,0.062,62.0,24.0,7.0,321.497
2,MONTPELLIER,LYON PART DIEU,109.497,297.0,0,21,27.905,2.135,46.0,31.413,7.178,0.268,0.293,0.171,0.146,0.073,0.049,32.0,13.0,6.0,314.115
2,BORDEAUX ST JEAN,PARIS MONTPARNASSE,211.197,619.0,1,53,19.981,2.371,53.0,42.17,3.746,0.458,0.229,0.125,0.167,0.0,0.021,53.0,21.0,9.0,560.221
2,LILLE,MARSEILLE ST CHARLES,299.172,192.0,0,18,10.833,1.651,36.0,31.556,8.49,0.194,0.194,0.222,0.333,0.028,0.028,36.0,14.0,3.0,966.167
2,LILLE,LYON PART DIEU,193.148,250.0,0,19,12.263,1.652,26.0,27.923,4.344,0.192,0.269,0.154,0.346,0.0,0.038,24.0,9.0,1.0,645.118
2,MARSEILLE ST CHARLES,PARIS LYON,197.184,391.0,0,15,14.4,0.703,22.0,30.091,0.918,0.55,0.0,0.0,0.2,0.05,0.2,22.0,6.0,1.0,748.745
2,LYON PART DIEU,LILLE,190.036,249.0,0,112,19.08,9.51,51.0,30.098,7.442,0.326,0.217,0.13,0.109,0.109,0.109,44.0,15.0,3.0,645.118
2,STRASBOURG,PARIS EST,141.755,429.0,5,47,11.936,1.818,40.0,23.325,2.785,0.171,0.371,0.229,0.143,0.057,0.029,28.0,7.0,2.0,449.775
2,LYON PART DIEU,MONTPELLIER,110.335,334.0,1,78,19.282,5.21,69.0,31.942,8.703,0.227,0.242,0.212,0.182,0.076,0.061,45.0,22.0,10.0,314.115
2,LYON PART DIEU,RENNES,261.786,84.0,0,33,16.061,7.583,15.0,79.933,16.31,0.25,0.333,0.083,0.0,0.333,0.0,15.0,11.0,7.0,1009.411
2,LILLE,PARIS NORD,68.905,547.0,1,29,12.345,1.077,44.0,17.318,-0.489,0.14,0.349,0.163,0.209,0.093,0.047,16.0,5.0,1.0,225.294
2,STRASBOURG,NANTES,317.314,35.0,0,1,21.0,0.629,4.0,42.5,6.857,0.25,0.0,0.0,0.0,0.5,0.25,4.0,1.0,1.0,851.094
3,LILLE,LYON PART DIEU,193.826,277.0,1,19,17.105,1.71,15.0,30.4,2.808,0.067,0.067,0.333,0.267,0.0,0.267,13.0,4.0,1.0,645.118
3,MARSEILLE ST CHARLES,LYON PART DIEU,100.881,550.0,1,52,18.481,2.084,85.0,29.776,7.313,0.207,0.354,0.244,0.122,0.037,0.037,54.0,20.0,7.0,321.497
3,REIMS,PARIS EST,46.854,213.0,0,2,33.5,0.526,10.0,13.2,-0.728,0.556,0.0,0.333,0.0,0.111,0.0,2.0,1.0,0.0,146.006
3,LYON PART DIEU,LILLE,190.153,275.0,1,114,18.289,8.956,50.0,33.54,7.055,0.25,0.396,0.167,0.125,0.042,0.021,40.0,16.0,6.0,645.118
3,MONTPELLIER,LYON PART DIEU,109.613,332.0,0,20,27.3,1.831,70.0,25.686,7.605,0.29,0.377,0.188,0.101,0.014,0.029,45.0,16.0,5.0,314.115
