Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average delay of late departing trains (min),Average delay of all departing trains (min),Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),"% trains late due to external causes (weather, obstacles, suspicious packages, malevolence, social movements, etc.)","% trains late due to railway infrastructure (maintenance, works)","% trains late due to traffic management (rail line traffic, network interactions)",% trains late due to rolling stock,% trains late due to station management and reuse of material,"% trains late due to passenger traffic (affluence, PSH management, connections)",Number of late trains > 15min,Number of late trains > 30min,Number of late trains > 60min,Distance
1,LYON PART DIEU,PARIS LYON,120.3,622.0,0,66,11.1,2.0,50.0,24.3,1.6,0.3,0.1,0.2,0.3,0.1,0.0,31.0,12.0,3.0,464.879
1,MONTPELLIER,LYON PART DIEU,109.5,317.0,2,17,27.1,1.7,44.0,31.8,6.6,0.3,0.2,0.1,0.1,0.1,0.1,29.0,12.0,5.0,305.714
1,STRASBOURG,PARIS EST,142.1,406.0,0,32,14.3,1.6,36.0,31.1,3.3,0.2,0.3,0.3,0.1,0.1,0.0,21.0,11.0,5.0,492.717
1,STRASBOURG,NANTES,318.5,33.0,0,1,8.0,0.3,3.0,30.7,3.8,0.3,0.3,0.0,0.0,0.0,0.3,3.0,1.0,0.0,865.98
1,MARSEILLE ST CHARLES,PARIS LYON,197.0,411.0,1,15,18.2,0.8,30.0,37.7,2.2,0.4,0.1,0.1,0.2,0.1,0.1,30.0,17.0,2.0,775.325
1,MARSEILLE ST CHARLES,LILLE,295.2,210.0,0,25,22.6,3.0,52.0,36.2,11.0,0.3,0.1,0.1,0.1,0.2,0.2,52.0,19.0,7.0,1002.004
1,NICE VILLE,PARIS LYON,337.2,178.0,2,18,15.3,1.8,23.0,79.5,10.7,0.3,0.1,0.3,0.2,0.1,0.1,23.0,14.0,11.0,930.56
1,MONTPELLIER,PARIS LYON,205.7,292.0,0,16,12.7,1.0,25.0,36.2,2.7,0.5,0.2,0.1,0.1,0.0,0.1,25.0,11.0,3.0,746.542
1,REIMS,PARIS EST,46.9,205.0,0,2,65.0,0.8,9.0,35.9,0.6,0.3,0.3,0.3,0.1,0.0,0.0,4.0,3.0,3.0,145.114
1,MARSEILLE ST CHARLES,LYON PART DIEU,100.4,527.0,0,62,30.6,3.9,79.0,38.1,7.9,0.2,0.2,0.2,0.1,0.2,0.1,50.0,27.0,12.0,318.115
