Year,Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average delay of late departing trains (min),Average delay of all departing trains (min),Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),"% trains late due to external causes (weather, obstacles, suspicious packages, malevolence, social movements, etc.)","% trains late due to railway infrastructure (maintenance, works)","% trains late due to traffic management (rail line traffic, network interactions)",% trains late due to rolling stock,% trains late due to station management and reuse of material,"% trains late due to passenger traffic (affluence, PSH management, connections)",Number of late trains > 15min,Number of late trains > 30min,Number of late trains > 60min
2015,1,PARIS LYON,NIMES,177.905956113,320,1,18,17.0555555555999,1.12225705329,34,32.8529411765,5.02821316614,0.41935483871,0.193548387097,0.129032258065,0.0967741935483999,0.129032258065,0.0322580645161,22,12,6
2015,1,PARIS EST,REIMS,47.1737089202,213,0,12,18.0833333333,1.17840375587,19,15,2.0985915493,0.117647058824,0.176470588235,0.235294117647,0.235294117647,0.117647058824,0.117647058824,6,2,0
2015,1,LA ROCHELLE VILLE,PARIS MONTPARNASSE,192.349282297,210,1,3,33,0.502392344498,9,54,3.09090909090999,0.142857142857,0.714285714286,0.142857142857,0,0,0,9,5,4
2015,1,PARIS MONTPARNASSE,VANNES,200.582386364,177,1,3,13,0.488636363636,9,25.6666666667,3.30681818182,0.444444444444,0.333333333333,0.111111111111,0,0.111111111111,0,9,2,0
2015,1,NANTES,STRASBOURG,327.038461538,39,0,0,0,0.538461538462,3,46.6666666667,4.38461538461999,0.666666666667,0,0,0.333333333333,0,0,3,3,0
2015,1,PARIS MONTPARNASSE,TOURS,74.6171428571,175,0,3,42,0.897142857143,23,15.7826086956999,2.83428571429,0.222222222222,0.277777777778,0.111111111111,0.111111111111,0.166666666667,0.111111111111,4,3,1
2015,1,PARIS LYON,ANNECY,222.423566879,159,2,3,55,1.1974522293,10,55.1,5.42038216560999,0.6,0.1,0.2,0.1,0,0,10,8,2
2015,1,PARIS LYON,ITALIE,259.620689655,87,0,4,13.25,0.896551724138,13,28.3846153846,6.50574712644,0.0459770114943,0.0459770114943,0,0.0114942528736,0,0.0344827586207,13,3,1
2015,1,PARIS LYON,LAUSANNE,178.401709402,117,0,9,21.4444444444,1.75213675214,11,36.7272727273,5.52991452990999,,,,,,,10,6,2
2015,1,PARIS LYON,ZURICH,141.964285714,140,0,13,26.5384615385,2.65714285714,15,33.7333333333,4.65714285714,,,,,,,9,5,1
2015,1,PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,79.3974358974,195,0,11,14.6363636364,0.938461538462,24,17.25,2.67179487179,0.181818181818,0.136363636363999,0.227272727273,0.227272727273,0.227272727273,0,8,2,1
2015,1,NANCY,PARIS EST,92.0557491288999,288,1,6,27.1666666667,0.815331010452999,18,24.0555555555999,0.588850174215999,0.2,0.533333333333,0.133333333333,0.133333333333,0,0,7,3,2
2015,1,PARIS MONTPARNASSE,BORDEAUX ST JEAN,208.685667752,615,1,19,17.6842105263,0.693811074919,58,37.6551724138,4.70521172638,0.270833333333,0.333333333333,0.145833333333,0.104166666667,0.104166666667,0.0416666666667,58,23,10
